,x,y
1,1,-43.73311026
2,2,21.6894369
3,3,-128.9653097
4,4,-109.9153349
5,5,147.8589156
6,6,-59.74513197
7,7,169.6905646
8,8,103.481779
9,9,40.07770443
10,10,-52.10205757
11,11,-30.87332367
12,12,20.79482748
13,13,-94.53933971
14,14,37.39347545
15,15,-48.38450327
16,16,71.50269677
17,17,51.63304593
18,18,166.3671648
19,19,22.03447201
20,20,19.33818814
21,21,20.31823778
22,22,90.64418073
23,23,51.62952146
24,24,134.8057499
25,25,110.5270582
26,26,107.58588
27,27,91.76998894
28,28,37.61993545
29,29,95.74431793
30,30,23.15114125
31,31,14.74159578
32,32,35.01497858
33,33,200.3524244
34,34,-21.59978653
35,35,52.81615418
36,36,191.9377045
37,37,128.5247301
38,38,305.34547
39,39,93.31199299
40,40,123.3343513
41,41,-1.881630554
42,42,167.468144
43,43,258.264268
44,44,85.47503167
45,45,265.415083
46,46,145.6825654
47,47,-34.94813683
48,48,275.3958181
49,49,263.4356556
50,50,216.695268
51,51,277.3570574
52,52,179.03061
53,53,123.8397517
54,54,259.3234157
55,55,228.9292348
56,56,270.9326428
57,57,204.6654946
58,58,267.8693321
59,59,376.4370595
60,60,237.3265098
61,61,150.0687132
62,62,472.5993057
63,63,230.1697048
64,64,50.92926289
65,65,303.481149
66,66,422.6214817
67,67,177.8331779
68,68,153.06394
69,69,203.4624878
70,70,343.3501661
71,71,316.9176063
72,72,262.886632
73,73,202.5803178
74,74,305.3770088
75,75,398.1561916
76,76,305.5273184
77,77,224.6527866
78,78,342.4849604
79,79,194.095335
80,80,344.6665149
81,81,301.6926309
82,82,343.379629
83,83,254.9218445
84,84,228.3915308
85,85,548.9708976
86,86,266.1473292
87,87,200.3437904
88,88,384.4351203
89,89,252.1165738
90,90,190.5068211
91,91,465.0028899
92,92,245.6434614
93,93,445.9169958
94,94,301.4345342
95,95,410.7195125
96,96,327.8109117
97,97,499.3833287
98,98,256.3748153
99,99,515.3609938
100,100,317.4921216
